Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason
Short,2010-01-31,137.2,2010-02-28,150.6,Stop-loss
Short,2010-03-31,135.3,2010-06-30,148.25,Stop-loss
Short,2010-07-31,146.6,2010-12-31,172.35,Stop-loss
Short,2011-01-31,168.55,2011-02-28,179.95,Stop-loss
Short,2011-03-31,162.8,2011-04-30,176.55,Stop-loss
Short,2011-05-31,182.5,2011-06-30,198.6,Stop-loss
Short,2011-07-31,200.7,2012-05-31,112.05,Cover Signal
Long,2012-06-30,122.65,2012-07-31,109.9,Stop-loss
Short,2013-01-31,119.7,2013-02-28,127.15,Stop-loss
Short,2013-03-31,133.95,2013-04-30,141.4,Stop-loss
Short,2013-05-31,151.35,2014-05-31,159.4,Stop-loss
Short,2014-06-30,140.8,2015-02-28,121.55,Cover Signal
Long,2015-04-30,109.4,2015-12-31,140.0,Sell Signal
Short,2016-03-31,147.2,2016-06-30,177.15,Stop-loss
Short,2016-07-31,180.85,2016-12-31,198.1,Stop-loss
Short,2017-01-31,172.9,2019-02-28,114.3,Cover Signal
Long,2019-04-30,94.8,2020-02-29,101.85,Sell Signal
Short,2020-03-31,120.2,2020-06-30,127.3,Stop-loss
Short,2020-07-31,121.75,2021-01-31,108.1,Cover Signal
Short,2022-02-28,145.95,2022-04-30,182.4,Stop-loss
Short,2022-05-31,177.35,2022-12-31,206.4,Stop-loss
Short,2023-01-31,219.2,2023-02-28,279.35,Stop-loss
Short,2023-03-31,269.5,2023-07-31,316.2,Stop-loss
Short,2023-12-31,320.2,2024-01-31,356.8,Stop-loss
Short,2024-05-31,437.2,2024-07-31,420.9,End of Data
